Banc de test optique V0.2

tension de test théorique : 12V
tension = 0.00 VDC;courant = 0.00 A;

Angle °;cd;X;Y;lux;temperature ambiante °C; temps après allumage en ms;
17.0;0.63;0.0000;0.0000;0.0358;1995.28;290161;
17.2;0.64;0.0000;0.0000;0.0365;1994.96;290577;
17.4;0.66;0.0000;0.0000;0.0372;1994.96;290993;
17.6;0.67;0.0000;0.0000;0.0379;1994.99;291409;
17.8;0.68;0.0000;0.0000;0.0386;1994.96;291825;
18.0;0.69;0.0000;0.0000;0.0392;1994.96;292241;
18.2;0.70;0.0000;0.0000;0.0397;1994.98;292657;
18.4;0.71;0.0000;0.0000;0.0401;1995.03;293073;
18.6;0.72;0.0000;0.0000;0.0406;1995.03;293489;
18.8;0.72;0.0000;0.0000;0.0410;1995.08;293905;
19.0;0.73;0.0000;0.0000;0.0414;1995.12;294321;
19.2;0.74;0.0000;0.0000;0.0418;1995.14;294737;
19.4;0.75;0.0000;0.0000;0.0422;1995.12;295153;
19.6;0.75;0.0000;0.0000;0.0427;1995.09;295569;
19.8;0.76;0.0000;0.0000;0.0431;1995.09;295985;
20.0;0.77;0.0000;0.0000;0.0435;1995.19;296401;
20.2;0.77;0.0000;0.0000;0.0439;1995.24;296817;
20.4;0.78;0.0000;0.0000;0.0444;1995.19;297233;
20.6;0.79;0.0000;0.0000;0.0450;1995.22;297649;
20.8;0.81;0.0000;0.0000;0.0458;1995.30;298065;
21.0;0.83;0.0000;0.0000;0.0469;1995.30;298481;
21.2;0.87;0.0000;0.0000;0.0491;1995.30;298897;
21.4;0.97;0.0000;0.0000;0.0548;1995.31;299313;
21.6;1.25;0.0000;0.0000;0.0706;1995.25;299729;
21.8;1.88;0.0000;0.0000;0.1065;1995.28;300145;
22.0;2.93;0.0000;0.0000;0.1663;1995.31;300561;
22.2;4.04;0.0000;0.0000;0.2291;1995.31;300977;
22.4;5.09;0.0000;0.0000;0.2888;1995.28;301393;
22.6;6.29;0.0000;0.0000;0.3566;1995.25;301809;
22.8;7.48;0.0000;0.0000;0.4239;1995.22;302225;
23.0;7.48;0.0000;0.0000;0.4239;1995.18;302641;
23.2;7.48;0.0000;0.0000;0.4239;1995.18;303054;
23.4;10.90;0.0000;0.0000;0.6179;1995.18;303467;
23.6;12.02;0.0000;0.0000;0.6814;1995.19;303883;
23.8;13.25;0.0000;0.0000;0.7512;1995.19;304299;
24.0;14.39;0.0000;0.0000;0.8159;1995.62;304715;
24.2;15.48;0.0000;0.0000;0.8773;1995.60;305131;
24.4;16.45;0.0000;0.0000;0.9325;1995.60;305547;
24.6;16.95;0.0000;0.0000;0.9611;1995.57;305963;
24.8;17.19;0.0000;0.0000;0.9743;1995.53;306379;
25.0;17.46;0.0000;0.0000;0.9895;1995.55;306795;
25.2;17.65;0.0000;0.0000;1.0006;1995.53;307211;
25.4;17.72;0.0000;0.0000;1.0047;1995.15;307627;
25.6;17.73;0.0000;0.0000;1.0049;1995.15;308043;
25.8;17.67;0.0000;0.0000;1.0015;1995.18;308459;
26.0;17.70;0.0000;0.0000;1.0036;1995.22;308875;
26.2;17.83;0.0000;0.0000;1.0108;1995.25;309291;
26.4;17.82;0.0000;0.0000;1.0104;1995.63;309707;
26.6;17.71;0.0000;0.0000;1.0043;1995.59;310123;
26.8;17.66;0.0000;0.0000;1.0010;1995.59;310539;
27.0;17.70;0.0000;0.0000;1.0033;1995.59;310955;
27.2;17.71;0.0000;0.0000;1.0041;1995.62;311371;
27.4;17.67;0.0000;0.0000;1.0017;1995.59;311787;
27.6;17.68;0.0000;0.0000;1.0022;1995.57;312203;
27.8;17.67;0.0000;0.0000;1.0018;1995.21;312619;
28.0;17.65;0.0000;0.0000;1.0008;1995.21;313035;
28.2;17.69;0.0000;0.0000;1.0030;1995.21;313451;
28.4;17.77;0.0000;0.0000;1.0075;1995.28;313867;
28.6;17.89;0.0000;0.0000;1.0141;1995.27;314283;
